id,text
001.jpg,FOR
001.jpg,GUYS
001.jpg,AND
001.jpg,GALS
001.jpg, 
001.jpg,650-853-9659
001.jpg,First
001.jpg,Floor
001.jpg,Tresidder
001.jpg,Union
001.jpg,Wat
001.jpg,mM
001.jpg,K
002.jpg,MEXICAN
002.jpg,GRILL
002.jpg,CHRIS
002.jpg,SALCEDO
002.jpg,APPRENTICE
002.jpg,650.462.9154
002.jpg,FAX
002.jpg,650.462.1252
002.jpg,CHIPOTLE
002.jpg,MEXICAN
002.jpg,"GRILL,"
002.jpg,I!
002.jpg,2675
002.jpg,EL
002.jpg,CAMINO
002.jpg,REAL
002.jpg,PALO
002.jpg,"ALTO,"
002.jpg,CA
002.jpg,94306
003.jpg,Wx
003.jpg,hoichi
003.jpg,Shiono
003.jpg,executive
003.jpg,chef
003.jpg,|
003.jpg,240
003.jpg,Castro
003.jpg,St.
003.jpg,tain
003.jpg,"View,"
003.jpg,CA
003.jpg,94041
003.jpg,Tel.650-964-6990
003.jpg,|
003.jpg,  
003.jpg,   
003.jpg, 
004.jpg,STANFORD
004.jpg,ELECTRICAL
004.jpg,BNGIN-EERING
004.jpg,VIJAY
004.jpg,CHANDRASEKHAR
004.jpg,Electrical
004.jpg,Engineering
004.jpg,17
004.jpg,Comstock
004.jpg,Circle
004.jpg,Apt
004.jpg,101
004.jpg,"Stanford,"
004.jpg,CA
004.jpg,94305
004.jpg,Phone:
004.jpg,916.221.0411
004.jpg,E-mail:
004.jpg,vijayc@stanford.edu
005.jpg,ace
005.jpg,sdaytons
005.jpg,‘COMMUNICATIONS
005.jpg,carol
005.jpg,soh
005.jpg,general
005.jpg,manager
005.jpg,h65
005.jpg,9630
005.jpg,1571
005.jpg,t
005.jpg,65
005.jpg,6379
005.jpg,5248
005.jpg,f
005.jpg,65
005.jpg,6475
005.jpg,3041
005.jpg,carol@acecomm.sg
005.jpg, 
006.jpg,RAFAEL
006.jpg,ULATE
006.jpg,DIRECTOR
006.jpg,OF
006.jpg,ADMISSIONS
006.jpg,DEPARTMENT
006.jpg,OF
006.jpg,ELECTRICAL
006.jpg,ENGINEERING
006.jpg, 
006.jpg, 
006.jpg,DAVID
006.jpg,PACKARD
006.jpg,ELECTRICAL
006.jpg,ENGINEERING
006.jpg,350
006.jpg,SERRA
006.jpg,"MALL,"
006.jpg,ROOM
006.jpg,170
006.jpg,TEL:
006.jpg,(650)
006.jpg,725-9327
006.jpg,©
006.jpg,STANFORD
006.jpg,UNIVERSITY
006.jpg,FAX:
006.jpg,(650)
006.jpg,723-
006.jpg,1882
006.jpg,"STANFORD,"
006.jpg,CALIFORNIA
006.jpg,94305-9505
006.jpg,ulate@ee.stanford.edu
007.jpg, 
007.jpg,Ph:
007.jpg,412-621-1356
007.jpg,Fax:
007.jpg,412-621-2410
007.jpg,MARK
007.jpg,D.
007.jpg,"MALVIN,"
007.jpg,D.M.D.
007.jpg,Comprehensive
007.jpg,Dental
007.jpg,Care
007.jpg,Office
007.jpg,Hours
007.jpg,410
007.jpg,S.
007.jpg,Craig
007.jpg,St.
007.jpg,Suite
007.jpg,102
007.jpg,By
007.jpg,Appointment
007.jpg,"Pittsburgh,"
007.jpg,PA
007.jpg,15213
008.jpg, 
008.jpg,Richard
008.jpg,Svienty
008.jpg,t
008.jpg,847
008.jpg,273-5617
008.jpg,f
008.jpg,847
008.jpg,273-5610
008.jpg,svienty@pv.com
008.jpg,packetvideo
008.jpg,a
008.jpg,member
008.jpg,of
008.jpg,technical
008.jpg,staff
008.jpg,5407
008.jpg,trillium
008.jpg,"boulevard,"
008.jpg,suite
008.jpg,130
008.jpg,hoffman
008.jpg,"estates,"
008.jpg,illinois
008.jpg,60192
008.jpg,www.pv.com
009.jpg, 
009.jpg,VTEC
009.jpg,SYSTEMS
009.jpg,AVTEC
009.jpg,"SYSTEMS,"
009.jpg,INC.
009.jpg,14432
009.jpg,ALBEMARLE
009.jpg,POINT
009.jpg,PLACE
009.jpg,"CHANTILLY,"
009.jpg,VIRGINIA
009.jpg,20151
009.jpg, 
009.jpg,y_N
009.jpg,(703)
009.jpg,488-2500
009.jpg,Direct
009.jpg,(703)
009.jpg,488-2348
009.jpg,Fax
009.jpg,(703)
009.jpg,488-2555
009.jpg,MICHAEL
009.jpg,POOLE
009.jpg,mpoole
009.jpg,@
009.jpg,avtec.com
009.jpg,Software
009.jpg,Engineer
009.jpg,http://www.avtec.com
009.jpg, 
010.jpg,nethernet
010.jpg,web
010.jpg,solutions
010.jpg,|
010.jpg,software
010.jpg,development
010.jpg,;
010.jpg,Ben
010.jpg,Congleton
010.jpg, 
010.jpg,bc@nethernet.com
010.jpg,cell
010.jpg,(703)
010.jpg,867-0135
010.jpg,www.nethernet.cem
010.jpg, 
011.jpg,BLUEWAVE
011.jpg,JIM
011.jpg,WHITEHURST
011.jpg,Senior
011.jpg,Vice
011.jpg,"President,"
011.jpg,People
011.jpg,and
011.jpg,Bran
011.jpg,Email:
011.jpg,whitehurst@blurwave.cc
011.jpg,Phone:
011.jpg,601-397-1239
